0,Nome,0,Empresa,Departamento,0.00
1,MacKenzie R. Forbes,34,Adobe,Public Relations,6579.00
5,Sierra M. Washington,56,Macromedia,Legal Department,5223.00
11,Hedda X. Roman,43,Lycos,Public Relations,5958.00
12,Kermit E. Hurley,54,Cakewalk,Quality Assurance,3842.00
16,Hayes M. Becker,41,Chami,Human Resources,7028.00
17,Katell U. Johnston,31,Chami,Customer Relations,5769.00
20,Nissim S. Crawford,37,Google,Tech Support,8631.00
38,Vivian O. Duffy,55,Google,Customer Service,2987.00
51,Stephanie F. Moran,44,Adobe,Customer Service,5840.00
82,Hunter M. Harding,58,Macromedia,Customer Relations,2695.00
91,Dylan K. Beach,32,Lycos,Legal Department,4771.00
94,Anjolie T. Vega,49,Lavasoft,Legal Department,2707.00
105,Denise T. Ford,66,Chami,Research and Development,7359.00
113,Neil K. Foster,66,Microsoft,Sales and Marketing,4117.00
121,Denise Q. Knowles,51,Borland,Human Resources,7385.00
127,Rowan X. Garner,18,Finale,Accounting,2967.00
129,Ria X. Mcintyre,26,Lavasoft,Public Relations,3600.00
131,Kristen M. Morgan,19,Apple Systems,Payroll,1734.00
132,Aphrodite F. Kane,42,Google,Human Resources,2270.00
133,Phoebe Y. Browning,38,Lavasoft,Quality Assurance,5213.00
139,Gary X. Rose,50,Yahoo,Advertising,9456.00
142,Teegan V. Burton,30,Macromedia,Sales and Marketing,5904.00
147,Blair P. Richards,66,Lycos,Media Relations,8975.00
150,Linda M. Ayers,50,Altavista,Asset Management,7666.00
161,Linda U. Wiley,25,Borland,Legal Department,9976.00
162,Kirsten E. Olsen,48,Finale,Sales and Marketing,6877.00
172,Camilla W. Holman,18,Altavista,Tech Support,3757.00
176,Cain G. Salas,58,Lavasoft,Advertising,5328.00
179,Sharon A. Wilson,64,Google,Asset Management,3661.00
184,Griffin Z. Randolph,25,Yahoo,Legal Department,7968.00
186,Helen K. Hood,28,Lycos,Accounting,4601.00
192,Quemby P. Shields,66,Microsoft,Advertising,8851.00
196,Keefe K. Glass,65,Lycos,Sales and Marketing,3904.00
204,Margaret A. Walker,33,Borland,Advertising,5777.00
205,Rylee M. Yates,65,Macromedia,Public Relations,5346.00
209,Slade E. Francis,56,Apple Systems,Advertising,7732.00
211,Colton C. Mccall,33,Finale,Accounting,2859.00
214,Rinah T. Cherry,52,Sibelius,Media Relations,9281.00
217,Lewis X. Harrington,55,Borland,Sales and Marketing,2352.00
218,Kasper S. Cruz,52,Altavista,Research and Development,8133.00
221,Mechelle V. Finley,32,Yahoo,Customer Service,4934.00
228,Jael F. Carey,63,Cakewalk,Legal Department,8190.00
230,Tanner F. Kaufman,21,Apple Systems,Asset Management,6455.00
232,Rhiannon O. Chang,31,Lavasoft,Payroll,7955.00
234,Willow Y. Dale,48,Yahoo,Media Relations,5060.00
240,Nelle F. Santos,30,Lavasoft,Payroll,9876.00
244,Rashad C. Beach,19,Lavasoft,Quality Assurance,5862.00
249,Hilel H. Buckley,43,Lavasoft,Finances,9784.00
273,Stuart A. Young,38,Macromedia,Advertising,8670.00
274,Cedric M. Knight,26,Apple Systems,Media Relations,2635.00
276,Lysandra I. Sherman,54,Adobe,Public Relations,5951.00
281,Mufutau P. Leblanc,51,Google,Customer Relations,7942.00
284,Sophia I. Turner,55,Microsoft,Research and Development,9748.00
308,Xandra R. Hensley,32,Apple Systems,Sales and Marketing,1576.00
315,Alexander I. Haynes,60,Google,Research and Development,5531.00
317,Marshall E. Haynes,26,Chami,Human Resources,4228.00
327,Ulysses K. Lucas,33,Lycos,Accounting,7702.00
342,Sylvia G. Riddle,59,Adobe,Asset Management,3990.00
343,Patrick Y. Church,22,Google,Quality Assurance,2231.00
349,Devin C. Noble,21,Borland,Human Resources,8783.00
353,Amaya F. Vang,28,Finale,Tech Support,3052.00
375,Kaitlin F. Norton,23,Chami,Finances,4151.00
383,Zenia F. Bell,62,Borland,Asset Management,2425.00
388,Hadassah V. Byrd,66,Chami,Customer Service,3031.00
393,Blaine N. Craig,52,Sibelius,Sales and Marketing,5630.00
394,Kylie L. Harding,30,Sibelius,Research and Development,1238.00
397,Vincent S. Kemp,34,Google,Finances,1989.00
398,Hu G. Mcintyre,24,Altavista,Payroll,3916.00
402,TaShya E. Silva,35,Altavista,Public Relations,5005.00
410,Steel S. Reilly,66,Microsoft,Human Resources,2097.00
411,Madaline X. Ewing,47,Adobe,Asset Management,3512.00
432,Ebony A. Calhoun,26,Lavasoft,Customer Relations,8553.00
436,Karen D. Gonzales,46,Finale,Human Resources,2110.00
438,Brock B. Gill,32,Macromedia,Payroll,8517.00
